method,num_stas,snr_db_mean,seed,aggregate_throughput,packet_delivery_ratio,collision_prob_npca,npca_transition_count,phy_error_count,phy_error_rate,harq_success_count,harq_fail_count,total_tx
same_ch_harq,20,16,123,1931,0.9782168186423505,0.7332730560578662,460,256,0.05517241379310345,71,83,4640
same_ch_harq,20,16,456,1929,0.9806812404677173,0.7154150197628458,680,260,0.05619191700886103,72,66,4627
cross_ch_harq,20,16,42,1947,0.9788838612368024,0.7370095440084835,480,237,0.05254988913525499,72,90,4510
cross_ch_harq,20,16,123,1920,0.9810935104752172,0.7345890410958904,559,274,0.05840972074184609,96,88,4691
cross_ch_harq,20,16,456,1932,0.9842078451349975,0.7074829931972789,580,266,0.058966969629793836,94,105,4511
no_harq,20,18,42,1619,0.9654144305307096,0.728249194414608,420,568,0.1338044758539458,0,0,4245
no_harq,20,18,123,1613,0.9641362821279139,0.7295081967213115,560,567,0.13140208574739282,0,0,4315
no_harq,20,18,456,1602,0.967391304347826,0.7242290748898679,619,577,0.1357008466603951,0,0,4252
same_ch_harq,20,18,42,1646,0.9676660787771899,0.7235555555555555,500,538,0.12235615192176484,165,109,4397
same_ch_harq,20,18,123,1630,0.9679334916864608,0.7328453796889296,520,545,0.12683267395857575,150,139,4297
same_ch_harq,20,18,456,1615,0.9682254196642686,0.7283057851239669,560,569,0.13563766388557807,173,146,4195
cross_ch_harq,20,18,42,1659,0.9764567392583873,0.7112922002328289,440,512,0.1219047619047619,184,144,4200
cross_ch_harq,20,18,123,1682,0.975072463768116,0.7263636363636363,500,509,0.11826208178438662,175,150,4304
cross_ch_harq,20,18,456,1608,0.9745454545454545,0.7097560975609756,500,556,0.1358085002442599,203,169,4094
no_harq,20,20,42,1088,0.9251700680272109,0.7262012692656392,520,1019,0.2784913910904619,0,0,3659
no_harq,20,20,123,1082,0.9138513513513513,0.725228390723823,660,1043,0.26992753623188404,0,0,3864
no_harq,20,20,456,1050,0.9138381201044387,0.7158424140821459,520,1065,0.2909041245561322,0,0,3661
same_ch_harq,20,20,42,1242,0.9303370786516854,0.7295774647887324,540,902,0.23110427875992826,309,181,3903
same_ch_harq,20,20,123,1204,0.9183829138062548,0.7233902759526938,700,929,0.23341708542713568,324,183,3980
same_ch_harq,20,20,456,1221,0.9435857805255023,0.7038539553752535,540,931,0.2504708097928437,329,183,3717
cross_ch_harq,20,20,42,1276,0.9494047619047619,0.7095744680851064,460,874,0.23164590511529287,339,242,3773
cross_ch_harq,20,20,123,1238,0.9407294832826748,0.7327852004110997,460,895,0.23847588595790034,333,288,3753
cross_ch_harq,20,20,456,1261,0.952416918429003,0.7272727272727273,520,879,0.23743922204213938,360,248,3702
no_harq,20,22,42,1928,0.9752149721800708,0.7302631578947368,560,265,0.05896751223854028,0,0,4494
no_harq,20,22,123,1918,0.9696663296258847,0.7488888888888889,660,285,0.060897435897435896,0,0,4680
no_harq,20,22,456,1934,0.9817258883248731,0.7207303974221267,520,267,0.061154374713696745,0,0,4366
same_ch_harq,20,22,42,1950,0.9798994974874372,0.7353255069370331,480,235,0.052222222222222225,63,61,4500
same_ch_harq,20,22,123,1931,0.9782168186423505,0.7332730560578662,460,256,0.05517241379310345,71,83,4640
same_ch_harq,20,22,456,1929,0.9806812404677173,0.7154150197628458,680,260,0.05619191700886103,72,66,4627
cross_ch_harq,20,22,42,1947,0.9788838612368024,0.7370095440084835,480,237,0.05254988913525499,72,90,4510
cross_ch_harq,20,22,123,1920,0.9810935104752172,0.7345890410958904,559,274,0.05840972074184609,96,88,4691
cross_ch_harq,20,22,456,1932,0.9842078451349975,0.7074829931972789,580,266,0.058966969629793836,94,105,4511
no_harq,20,24,42,1619,0.9654144305307096,0.728249194414608,420,568,0.1338044758539458,0,0,4245
no_harq,20,24,123,1613,0.9641362821279139,0.7295081967213115,560,567,0.13140208574739282,0,0,4315
no_harq,20,24,456,1602,0.967391304347826,0.7242290748898679,619,577,0.1357008466603951,0,0,4252
same_ch_harq,20,24,42,1646,0.9676660787771899,0.7235555555555555,500,538,0.12235615192176484,165,109,4397
same_ch_harq,20,24,123,1630,0.9679334916864608,0.7328453796889296,520,545,0.12683267395857575,150,139,4297
same_ch_harq,20,24,456,1615,0.9682254196642686,0.7283057851239669,560,569,0.13563766388557807,173,146,4195
cross_ch_harq,20,24,42,1659,0.9764567392583873,0.7112922002328289,440,512,0.1219047619047619,184,144,4200
cross_ch_harq,20,24,123,1682,0.975072463768116,0.7263636363636363,500,509,0.11826208178438662,175,150,4304
cross_ch_harq,20,24,456,1608,0.9745454545454545,0.7097560975609756,500,556,0.1358085002442599,203,169,4094
no_harq,20,26,42,1088,0.9251700680272109,0.7262012692656392,520,1019,0.2784913910904619,0,0,3659
no_harq,20,26,123,1082,0.9138513513513513,0.725228390723823,660,1043,0.26992753623188404,0,0,3864
no_harq,20,26,456,1050,0.9138381201044387,0.7158424140821459,520,1065,0.2909041245561322,0,0,3661
same_ch_harq,20,26,42,1242,0.9303370786516854,0.7295774647887324,540,902,0.23110427875992826,309,181,3903
same_ch_harq,20,26,123,1204,0.9183829138062548,0.7233902759526938,700,929,0.23341708542713568,324,183,3980
same_ch_harq,20,26,456,1221,0.9435857805255023,0.7038539553752535,540,931,0.2504708097928437,329,183,3717
cross_ch_harq,20,26,42,1276,0.9494047619047619,0.7095744680851064,460,874,0.23164590511529287,339,242,3773
cross_ch_harq,20,26,123,1238,0.9407294832826748,0.7327852004110997,460,895,0.23847588595790034,333,288,3753
cross_ch_harq,20,26,456,1261,0.952416918429003,0.7272727272727273,520,879,0.23743922204213938,360,248,3702
