method,num_stas,snr_db_mean,seed,aggregate_throughput,packet_delivery_ratio,collision_prob_npca,npca_transition_count,phy_error_count,phy_error_rate,harq_success_count,harq_fail_count,total_tx
no_harq,20,8,42,1068,0.7970149253731343,0.716296826533047,2000,1123,0.1998220640569395,0,0,5620
no_harq,20,8,123,1057,0.8155864197530864,0.711051930758988,1860,1136,0.21313320825515947,0,0,5330
no_harq,20,8,456,1072,0.8048048048048048,0.7252969421278747,2159,1129,0.20415913200723326,0,0,5530
same_ch_harq,20,8,42,1198,0.8424753867791842,0.7085858585858585,1920,997,0.18100944081336237,188,214,5508
same_ch_harq,20,8,123,1200,0.8391608391608392,0.7209242618741977,1960,1018,0.18227394807520142,194,208,5585
same_ch_harq,20,8,456,1172,0.8230337078651685,0.7141855573732181,2280,1042,0.17977915804002761,199,218,5796
cross_ch_harq,20,8,42,1260,0.8707671043538355,0.7146042363433668,1860,955,0.17797241893402907,319,415,5366
cross_ch_harq,20,8,123,1234,0.849862258953168,0.724601593625498,2020,964,0.1690931415541133,288,496,5701
cross_ch_harq,20,8,456,1202,0.8494699646643109,0.7257534246575342,1820,998,0.18332108743570905,310,480,5444
no_harq,20,10,42,1968,0.9420775490665391,0.7273853779429987,1880,259,0.042196155099380905,0,0,6138
no_harq,20,10,123,1976,0.9431980906921241,0.7402721413225113,1939,260,0.040912667191188044,0,0,6355
no_harq,20,10,456,1967,0.9425011978917106,0.7232834279814145,1920,278,0.04624085163007319,0,0,6012
same_ch_harq,20,10,42,1970,0.9480269489894129,0.728549924736578,1900,258,0.04210869920026114,46,50,6127
same_ch_harq,20,10,123,2005,0.9439736346516008,0.7370719374856355,1960,251,0.03912704598597038,49,63,6415
same_ch_harq,20,10,456,1967,0.9438579654510557,0.7230769230769231,1900,266,0.045346062052505964,43,52,5866
cross_ch_harq,20,10,42,2005,0.9457547169811321,0.7243373493975903,2000,238,0.03794642857142857,78,103,6272
cross_ch_harq,20,10,123,2007,0.9502840909090909,0.7335834896810507,1920,250,0.039457070707070704,72,143,6336
cross_ch_harq,20,10,456,1987,0.9421526789947843,0.730630380449875,1920,256,0.04284518828451883,85,118,5975
no_harq,20,12,42,1640,0.9116175653140633,0.7288309030442568,1900,590,0.10003390979993218,0,0,5898
no_harq,20,12,123,1643,0.9087389380530974,0.7348648001914334,1960,588,0.09629872256796594,0,0,6106
no_harq,20,12,456,1646,0.9154616240266963,0.723199560197911,1980,599,0.10451928110277439,0,0,5731
same_ch_harq,20,12,42,1682,0.9156232988568318,0.7282077654924145,1940,542,0.09222392377063128,87,114,5877
same_ch_harq,20,12,123,1661,0.9131390874106652,0.7306235799040647,2020,569,0.09551787812657378,98,131,5957
same_ch_harq,20,12,456,1653,0.9229480737018425,0.7175939000282406,1720,583,0.10298533827945593,122,106,5661
cross_ch_harq,20,12,42,1686,0.9233296823658269,0.7201024327784891,1880,542,0.09280821917808219,177,248,5840
cross_ch_harq,20,12,123,1668,0.913972602739726,0.7234092509978868,2019,572,0.09364767518009168,162,302,6108
cross_ch_harq,20,12,456,1634,0.9174620999438517,0.729504048582996,1900,592,0.09944565765160424,188,305,5953
no_harq,20,14,42,1068,0.7970149253731343,0.716296826533047,2000,1123,0.1998220640569395,0,0,5620
no_harq,20,14,123,1057,0.8155864197530864,0.711051930758988,1860,1136,0.21313320825515947,0,0,5330
no_harq,20,14,456,1072,0.8048048048048048,0.7252969421278747,2159,1129,0.20415913200723326,0,0,5530
